Auction Date,Branch Name,Stock Number,Year,Make,Model,Series Name,Current Bid,Title/Sale Document,Public,Primary Damage,Secondary Damage,Loss Type,New Inventory Time,Timed Auction,Vehicle Type,Vehicle Subtype,Odometer,ODO Status,Start Code,Air Bags,Key,Exterior Color,Interior Color,Engine,Fuel Type,Cylinders,Vin#,Market,Transmission Type,Seller,Drive Line Type,Body Style,Country of Origin,Offsite,Lane,Run,Aisle,Stall,Seller Type,ACV,Region
"Mon Dec 01, 8:30am CST",New Castle,43511839,2011,ACURA,TSX,2.4,$25 USD,Salvage,NO,Right Rear,,Collision,"Mon Dec 01, 12:40am CST",NO,Automobiles,,"182,994 mi",,Run & Drive,Deployed Airbags,Key Available,Silver,Black,"2.4L I-4 DOHC, VVT, 201HP",Gasoline,4 Cyl,JH4CU2F62BC003698,IAA United States,Automatic,State Farm Group Insurance,Front Wheel Drive,Sedan,Japan,NO,A,23,"A  ",15,Insurance,"$4,718 USD",East
"Mon Dec 01, 8:30am CST",New Castle,42988413,2023,AUDI,A5 SPORTBACK,PREMIUM 40 TFSI QUATTRO S TRONIC,"$8,700 USD",Salvage,NO,Rear,,Collision,"Mon Dec 01, 12:34am CST",NO,Automobiles,,"24,495 mi",,Run & Drive,Intact Airbags,Key Available,Black,Black,"2.0L I-4 DI, DOHC, VVT, turbo, 201HP",Gasoline,4 Cyl,WAUABCF50PA028143,IAA United States,Automatic,State Farm Group Insurance,All-Wheel Drive,Hatchback,Germany,NO,A,38,"A  ",8,Insurance,"$32,225 USD",East
"Mon Dec 01, 8:30am CST",New Castle,43554953,2023,AUDI,Q5,PREMIUM PLUS 40 TFSI QUATTRO S TRONIC,"$9,400 USD",Salvage,NO,Front End,Right Front,Other,"Mon Dec 01, 12:41am CST",NO,SUVs,,"56,065 mi",,Run & Drive,Deployed Airbags,Key Available,White,Gray,"2.0L I-4 DI, DOHC, VVT, turbo, 201HP",Gasoline,4 Cyl,WA1BBAFY0P2008968,IAA United States,Automatic,State Farm Group Insurance,All-Wheel Drive,Sport Utility,Germany,NO,A,19,"A  ",30,Insurance,"$25,877 USD",East
"Mon Dec 01, 8:30am CST",New Castle,43610316,2019,BUICK,ENCORE,FWD PREFERRED,$425 USD,Salvage,NO,Front End,Left Rear,Collision,"Mon Dec 01, 12:43am CST",NO,SUVs,,"82,869 mi",,Run & Drive,Deployed Airbags,Key Available,Silver,Black,"1.4L I-4 DOHC, VVT, turbo, 138HP",Gasoline,4 Cyl,KL4CJASB9KB921942,IAA United States,Automatic,State Farm Group Insurance,Front Wheel Drive,Sport Utility,South Korea,NO,A,48,"AA ",50,Insurance,"$11,025 USD",East
"Mon Dec 01, 8:30am CST",New Castle,43626453,2010,CADILLAC,CTS,LUXURY,$875 USD,Salvage,NO,Right Side,Left Rear,Collision,"Mon Dec 01, 12:44am CST",NO,Automobiles,,"68,069 mi",,Run & Drive,Intact Airbags,Key Available,Green,Tan,"3.0L V-6 DI, DOHC, VVT, 270HP",Gasoline,6 Cyl,1G6DE5EG4A0127764,IAA United States,Automatic,State Farm Group Insurance,Rear Wheel Drive,Sedan,United States,NO,A,2,"AA ",28,Insurance,"$8,185 USD",East
"Mon Dec 01, 8:30am CST",New Castle,42752007,2015,CADILLAC,SRX,LUXURY COLLECTION,$925 USD,Salvage,NO,Right Front,,Collision,"Mon Dec 01, 12:33am CST",NO,SUVs,,"125,897 mi",,Run & Drive,Intact Airbags,Key Available,Gold,Cream,"3.6L V-6 DI, DOHC, VVT, 308HP",Gasoline,6 Cyl,3GYFNBE36FS510438,IAA United States,Automatic,State Farm Group Insurance,Front Wheel Drive,Utility,Mexico,NO,A,53,"A  ",19,Insurance,"$10,169 USD",East
"Mon Dec 01, 8:30am CST",New Castle,43510826,2022,CHEVROLET,EQUINOX,FWD LT,"$5,600 USD",Salvage,NO,Rear,,Collision,"Mon Dec 01, 12:40am CST",NO,SUVs,,"28,943 mi",,Run & Drive,Intact Airbags,Key Available,Black,Black,"1.5L I-4 DI, DOHC, VVT, turbo, 170HP",Gasoline,4 Cyl,3GNAXKEV2NL234254,IAA United States,Automatic,State Farm Group Insurance,Front Wheel Drive,Sport Utility,Mexico,NO,A,24,"A  ",28,Insurance,"$20,792 USD",East
"Mon Dec 01, 8:30am CST",New Castle,43190399,2004,CHEVROLET,IMPALA," ",,Salvage,NO,Front End,Right Front,Collision,"Mon Dec 01, 12:35am CST",NO,Automobiles,,"200,100 mi",Not Required/Exempt,Run & Drive,Intact Airbags,Key Available,Gold,,3.4L V-6 180HP,Gasoline,6 Cyl,2G1WF52E349450261,IAA United States,Automatic,,Front Wheel Drive,Sedan,Canada,NO,A,58,"L  ",55,Non-Insurance,$500 USD,East
"Mon Dec 01, 8:30am CST",New Castle,43470453,2023,CHEVROLET,MALIBU,FWD 1LT,"$1,050 USD",Salvage,NO,Front End,,Collision,"Mon Dec 01, 12:39am CST",NO,Automobiles,,"48,585 mi",,Stationary,Deployed Airbags,Key Available,Black,Black,"1.5L I-4 DI, DOHC, VVT, turbo, 160HP",Gasoline,4 Cyl,1G1ZD5ST9PF177694,IAA United States,Automatic,State Farm Group Insurance,Front Wheel Drive,Sedan,United States,NO,A,51,"A  ",8,Insurance,"$18,825 USD",East
"Mon Dec 01, 8:30am CST",New Castle,41599982,2012,CHEVROLET,MALIBU,2LZ,,Salvage,NO,Rear,Left Rear,Collision,"Mon Dec 01, 12:33am CST",NO,Automobiles,,"182,144 mi",,Run & Drive,Intact Airbags,Key Available,Black,Black,"3.6L V-6 DOHC, VVT, 252HP",Gasoline,6 Cyl,1G1ZG5E71CF378764,IAA United States,Automatic,State Farm Group Insurance,Front Wheel Drive,Sedan,United States,NO,A,14,"AA ",32,Insurance,"$4,344 USD",East
